,0,1,2,3,4,5,6,7,8,9,10
0,3.4349003,17.468464,4.1452317,0.96243274,3.0852957,1.5858516,3.0172498,6.247009,5.913961,9.30409,12.641147
1,3.7198677,16.928429,4.5830965,1.2250265,2.705691,1.473815,2.9943607,5.936607,6.7464385,9.28662,11.364886
2,6.104348,43.573833,7.5920835,1.7577264,6.8112984,3.2948961,4.7705545,12.746301,12.099523,13.3709755,19.08378
3,5.3225203,38.270542,5.7747045,2.0250726,6.733423,3.4700043,4.0596156,11.901355,13.040288,13.145743,18.457867
4,6.403971,46.54155,11.543178,1.8779902,7.4103117,3.0105171,4.7785287,12.411743,10.491853,13.20276,17.462318
5,6.8942323,44.37723,7.8896837,1.5592551,6.410441,2.6911583,5.1917353,12.545734,8.4863825,13.671123,19.298977
6,4.8775306,24.07188,2.2963586,1.1666466,4.351329,2.704934,3.2995317,8.314521,10.8280115,10.141505,16.647783
7,4.0875626,21.652046,3.1486986,1.475031,3.4396095,2.5093503,3.4512162,7.6149526,9.5952835,10.187412,14.249128
8,5.152259,41.96306,6.900662,2.2897701,6.691031,3.2182994,4.5415506,13.088972,11.458546,13.154397,17.381989
9,6.8648496,50.701385,16.480362,2.2116578,6.891516,3.0983987,5.1696725,11.011746,8.305279,13.338957,18.504414
10,3.4802744,17.403862,3.791732,0.93271714,2.884794,1.6735772,2.6374373,6.1618004,6.460807,8.856784,11.817593
11,5.8683724,41.357418,5.6120844,1.9676996,6.4240623,3.110658,4.650404,12.591339,11.78161,13.772317,19.232252
12,6.95599,46.32496,13.230566,1.7605015,7.008691,3.027087,5.2427917,12.747892,9.536146,13.421485,18.657553
13,6.249251,41.74544,5.386702,1.9648213,6.043465,3.378497,5.8137035,12.038671,10.407204,12.353139,19.808537
14,6.231864,44.148483,8.04596,1.8711923,5.7637944,3.4179306,4.541938,12.265085,11.5981655,13.776397,20.520378
15,4.6476173,24.130281,2.3768663,1.2778004,4.265189,2.5872786,3.5834715,8.750773,9.13245,10.590947,15.611116
16,5.8239503,40.773273,6.602937,1.5461929,6.156061,2.611899,4.941845,11.74942,9.245899,13.574045,16.039795
17,5.383216,36.81114,7.3860106,1.5745057,6.235493,3.7981315,3.9316962,11.937567,14.793974,12.867385,17.832106
18,6.5945687,41.861004,7.114832,2.2759275,5.960788,3.4360933,4.6232805,12.77893,11.001061,13.642244,19.551416
19,5.745248,42.081203,7.948132,1.7349392,6.1629314,3.2497911,4.613727,12.041667,12.18635,13.598411,18.701443
20,5.0958605,24.261755,3.2808378,1.5051631,3.7539194,2.1821089,3.9948623,8.330505,9.100332,10.744239,13.720756
21,5.363221,35.38418,8.129046,1.8501099,6.0124755,3.7181787,3.9499602,12.57285,12.757735,12.20148,18.817106
22,5.9392657,40.459988,8.135777,2.0089018,6.8833957,2.9226935,4.485426,12.334086,12.044197,12.73428,18.374725
23,4.903456,23.163416,2.1405268,1.9937534,3.6441162,1.8831474,3.7576287,8.529721,8.93818,10.070086,16.210167
24,6.0676546,40.738064,6.053521,1.8603623,5.327523,2.9170706,4.3884063,10.967497,10.552118,11.985752,16.627348
25,6.1451035,43.22901,5.7950397,2.0037637,5.9197974,3.6960502,5.259191,11.870488,10.701435,13.339511,18.661404
26,5.6301093,38.94006,3.8418038,1.7108742,6.401434,3.3023448,4.8209734,11.735477,10.336948,12.934154,19.060024
27,7.0671167,46.513157,13.07746,1.8824719,7.22104,3.2099206,5.3647356,12.019244,10.132715,13.3868265,18.469461
28,6.185438,43.9279,7.0286007,1.9933689,6.271652,2.8540251,5.528944,11.494256,8.916688,12.742346,19.96287
