,0,1,2,3,4,5,6
0,14.352933,1031.9236,1459.9073,5.202548,0.060657386,0.0,7.6117716
1,17.424343,1006.5588,1223.3705,5.116596,0.14160761,0.012439417,8.46619
2,3.9294283,4.0645404,1.0192509,0.21694212,0.32011998,0.36530992,3.6282291
3,8.044488,90.72345,2.326875,0.670723,0.18325363,0.13688277,5.1342015
4,1.5852,0.2730101,0.41925326,0.030861469,0.5667743,0.52690995,1.710592
5,0.3013741,0.1475594,1.855412,0.08537398,0.636547,0.77119327,1.1354358
6,15.85025,714.04083,382.2031,4.266884,0.10332803,0.013725947,7.080873
7,17.008188,852.0168,746.1022,5.1598997,0.16719711,0.023010796,7.554543
8,8.348265,106.945114,5.3564334,1.1023321,0.2768063,0.07605839,5.31544
9,1.1645526,0.545288,1.0610094,0.05451207,0.37029216,0.5850122,1.6734788
10,14.783163,1054.5059,1467.1534,5.309859,0.06687857,0.0,7.698189
11,5.8659644,29.771004,1.2245833,0.31218624,0.34720692,0.15302871,4.3250155
12,0.4014656,0.06614366,0.9236124,0.058903374,0.60363835,0.715057,1.0143435
13,4.515294,7.1937604,0.5313968,0.14223509,0.29428002,0.3283673,3.635501
14,7.7866955,108.50049,1.8992014,0.5958,0.11427559,0.13118142,5.2098393
15,14.711709,724.31055,444.92853,4.2329545,0.08796457,0.010429853,7.151216
16,0.3762742,0.79026145,0.5167937,0.043336056,0.8275379,0.797573,0.47917452
17,11.183384,308.21393,12.998287,1.6403918,0.120448016,0.04104662,6.4178233
18,6.0117445,35.764587,1.3506333,0.39109075,0.37498862,0.27048153,4.066889
19,7.6891956,100.89521,6.1820965,0.50784624,0.28085825,0.17914197,4.761999
20,16.529997,797.7109,523.40216,4.0940533,0.09401589,0.008128122,7.816462
21,13.777612,351.21634,46.879406,2.4120574,0.08021966,0.0,6.667451
22,7.285276,63.25518,1.6043084,0.5491189,0.15515931,0.13887003,5.718438
23,15.018849,800.73584,633.49835,4.503644,0.11628409,0.0,7.657774
24,0.22841692,1.5246964,1.1948398,0.039601892,0.57293606,0.49438635,0.8829725
25,4.2978745,18.664616,1.459856,0.3093742,0.33779448,0.2171006,4.1025796
26,5.1968856,24.370913,1.97661,0.3458345,0.19968046,0.34964222,4.231411
27,1.6239672,0.31973505,0.3464063,0.15677825,0.34378424,0.60520107,2.2534502
28,2.3764696,1.5058155,0.61908746,0.1390069,0.39843497,0.27994284,2.7248857
29,0.30792445,0.010299271,0.20588793,0.05453574,0.73909235,0.3710164,0.23076841
30,0.40438688,0.007679888,0.08177781,0.058964994,0.80126256,0.37300506,0.497288
